#Sensitivity at 5Hz,,,,,,,,,,,,
Piezo(V),FBG(pm),,,,,,,,,,,
,,B-1536678,A-0.758,,,,,,,Piezo FFT,FBG FFT,crest-to-trough
0.761,1536682,4,0.003,,,,,,,,,
0.762,1536683,5,0.004,,,,,,,,,
0.762,1536683,5,0.004,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.759,1536684,6,0.001,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.759,1536682,4,0.001,,,,,,,,,
0.758,1536682,4,0,,,,,,,,,
0.757,1536682,4,-0.001,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.756,1536679,1,-0.002,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.754,1536680,2,-0.004,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.755,1536679,1,-0.003,,,,,,,,,
0.755,1536679,1,-0.003,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.755,1536679,1,-0.003,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.753,1536676,-2,-0.005,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.755,1536679,1,-0.003,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.758,1536678,0,0,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.758,1536677,-1,0,,,,,,,,,
0.759,1536679,1,0.001,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.76,1536681,3,0.002,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.761,1536681,3,0.003,,,,,,,,,
0.76,1536681,3,0.002,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.763,1536682,4,0.005,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.762,1536683,5,0.004,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.759,1536684,6,0.001,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.758,1536683,5,0,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.758,1536684,6,0,,,,,,,,,
0.759,1536682,4,0.001,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.758,1536683,5,0,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.756,1536681,3,-0.002,,,,,,,,,
0.756,1536681,3,-0.002,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.756,1536679,1,-0.002,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.753,1536678,0,-0.005,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.752,1536677,-1,-0.006,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.753,1536676,-2,-0.005,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.758,1536678,0,0,,,,,,,,,
0.759,1536679,1,0.001,,,,,,,,,
0.756,1536678,0,-0.002,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.758,1536678,0,0,,,,,,,,,
0.76,1536679,1,0.002,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.761,1536682,4,0.003,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.762,1536681,3,0.004,,,,,,,,,
0.762,1536681,3,0.004,,,,,,,,,
0.76,1536681,3,0.002,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.762,1536681,3,0.004,,,,,,,,,
0.763,1536682,4,0.005,,,,,,,,,
0.761,1536682,4,0.003,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.762,1536683,5,0.004,,,,,,,,,
0.764,1536683,5,0.006,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.761,1536685,7,0.003,,,,,,,,,
0.759,1536684,6,0.001,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.758,1536683,5,0,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.758,1536683,5,0,,,,,,,,,
0.758,1536683,5,0,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.757,1536682,4,-0.001,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.76,1536681,3,0.002,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.757,1536681,3,-0.001,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.758,1536682,4,0,,,,,,,,,
0.755,1536681,3,-0.003,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.753,1536679,1,-0.005,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.755,1536679,1,-0.003,,,,,,,,,
0.752,1536677,-1,-0.006,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.752,1536677,-1,-0.006,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.755,1536677,-1,-0.003,,,,,,,,,
0.753,1536678,0,-0.005,,,,,,,,,
0.753,1536676,-2,-0.005,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.757,1536676,-2,-0.001,,,,,,,,,
0.755,1536676,-2,-0.003,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.757,1536676,-2,-0.001,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.759,1536678,0,0.001,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.756,1536679,1,-0.002,,,,,,,,,
0.758,1536679,1,0,,,,,,,,,
0.76,1536679,1,0.002,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.761,1536679,1,0.003,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.757,1536680,2,-0.001,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.762,1536680,2,0.004,,,,,,,,,
0.76,1536680,2,0.002,,,,,,,,,
0.759,1536681,3,0.001,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.763,1536681,3,0.005,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.761,1536681,3,0.003,,,,,,,,,
0.764,1536683,5,0.006,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.759,1536682,4,0.001,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.762,1536683,5,0.004,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.764,1536683,5,0.006,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.76,1536684,6,0.002,,,,,,,,,
0.759,1536684,6,0.001,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.764,1536684,6,0.006,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.759,1536684,6,0.001,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.761,1536684,6,0.003,,,,,,,,,
0.763,1536684,6,0.005,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.757,1536683,5,-0.001,,,,,,,,,
0.758,1536682,4,0,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.762,1536684,6,0.004,,,,,,,,,
0.758,1536684,6,0,,,,,,,,,
0.757,1536683,5,-0.001,,,,,,,,,
0.759,1536683,5,0.001,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.757,1536682,4,-0.001,,,,,,,,,
0.757,1536683,5,-0.001,,,,,,,,,
0.759,1536682,4,0.001,,,,,,,,,
0.761,1536682,4,0.003,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.756,1536681,3,-0.002,,,,,,,,,
0.758,1536681,3,0,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.754,1536680,2,-0.004,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.754,1536680,2,-0.004,,,,,,,,,
0.754,1536679,1,-0.004,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.757,1536678,0,-0.001,,,,,,,,,
0.755,1536679,1,-0.003,,,,,,,,,
0.753,1536679,1,-0.005,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.752,1536676,-2,-0.006,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.752,1536677,-1,-0.006,,,,,,,,,
0.753,1536676,-2,-0.005,,,,,,,,,
0.756,1536676,-2,-0.002,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536677,-1,-0.004,,,,,,,,,
0.752,1536676,-2,-0.006,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536676,-2,-0.004,,,,,,,,,
0.753,1536677,-1,-0.005,,,,,,,,,
0.757,1536677,-1,-0.001,,,,,,,,,
0.758,1536677,-1,0,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.754,1536678,0,-0.004,,,,,,,,,
0.756,1536677,-1,-0.002,,,,,,,,,
0.759,1536678,0,0.001,,,,,,,,,
0.758,1536678,0,0,,,,,,,,,
0.755,1536678,0,-0.003,,,,,,,,,
0.755,1536680,2,-0.003,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.76,1536679,1,0.002,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.756,1536680,2,-0.002,,,,,,,,,
0.757,1536679,1,-0.001,,,,,,,,,
0.761,1536679,1,0.003,,,,,,,,,
0.761,1536680,2,0.003,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.758,1536680,2,0,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.762,1536680,2,0.004,,,,,,,,,
0.761,1536681,3,0.003,,,,,,,,,
0.759,1536680,2,0.001,,,,,,,,,
0.759,1536682,4,0.001,,,,,,,,,
0.761,1536681,3,0.003,,,,,,,,,
0.763,1536680,2,0.005,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.759,1536682,4,0.001,,,,,,,,,
0.76,1536682,4,0.002,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.763,1536682,4,0.005,,,,,,,,,
0.761,1536682,4,0.003,,,,,,,,,
0.761,1536683,5,0.003,,,,,,,,,
0.762,1536682,4,0.004,,,,,,,,,
0.764,1536682,4,0.006,,,,,,,,,
0.763,1536683,5,0.005,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
0.76,1536683,5,0.002,,,,,,,,,
